Varibable,Vars
(Intercept),Intercept
COHORT,Cohort
WT2,Weight
PV1MATH,Math Achievement
PV2MATH,Math Achievement
PV3MATH,Math Achievement
PV4MATH,Math Achievement
PV5MATH,Math Achievement
PV1MATH1,Math Achievement
PV2MATH1,Math Achievement
PV3MATH1,Math Achievement
PV4MATH1,Math Achievement
PV5MATH1,Math Achievement
PV1MATH2,Math Achievement
PV2MATH2,Math Achievement
PV3MATH2,Math Achievement
PV4MATH2,Math Achievement
PV5MATH2,Math Achievement
PV1MATH3,Math Achievement
PV2MATH3,Math Achievement
PV3MATH3,Math Achievement
PV4MATH3,Math Achievement
PV5MATH3,Math Achievement
PV1MATH4,Math Achievement
PV2MATH4,Math Achievement
PV3MATH4,Math Achievement
PV4MATH4,Math Achievement
PV5MATH4,Math Achievement
PV1READ,Reading Achievement
PV2READ,Reading Achievement
PV3READ,Reading Achievement
PV4READ,Reading Achievement
PV5READ,Reading Achievement
PV1SCIE,Science Achievement
PV2SCIE,Science Achievement
PV3SCIE,Science Achievement
PV4SCIE,Science Achievement
PV5SCIE,Science Achievement
PV1PROB,Problem Solving
PV2PROB,Problem Solving
PV3PROB,Problem Solving
PV4PROB,Problem Solving
PV5PROB,Problem Solving
INDIG,Indigenous
GENDER,Gender (Boys)
GEO,Urban
SCH10,Dropout 10
SCH11,Dropout 11
SCH12,Dropout 12
SCH13,Dropout 13
STATEID,Region (East Coast)
GRADE,Year in school
SC,Self-concept
WT,Weight
ESCS,Socioeconomic Status
W_FSTR1,Weight
W_FSTR2,Weight
W_FSTR3,Weight
W_FSTR4,Weight
W_FSTR5,Weight
W_FSTR6,Weight
W_FSTR7,Weight
W_FSTR8,Weight
W_FSTR9,Weight
W_FSTR10,Weight
W_FSTR11,Weight
W_FSTR12,Weight
W_FSTR13,Weight
W_FSTR14,Weight
W_FSTR15,Weight
W_FSTR16,Weight
W_FSTR17,Weight
W_FSTR18,Weight
W_FSTR19,Weight
W_FSTR20,Weight
W_FSTR21,Weight
W_FSTR22,Weight
W_FSTR23,Weight
W_FSTR24,Weight
W_FSTR25,Weight
W_FSTR26,Weight
W_FSTR27,Weight
W_FSTR28,Weight
W_FSTR29,Weight
W_FSTR30,Weight
W_FSTR31,Weight
W_FSTR32,Weight
W_FSTR33,Weight
W_FSTR34,Weight
W_FSTR35,Weight
W_FSTR36,Weight
W_FSTR37,Weight
W_FSTR38,Weight
W_FSTR39,Weight
W_FSTR40,Weight
W_FSTR41,Weight
W_FSTR42,Weight
W_FSTR43,Weight
W_FSTR44,Weight
W_FSTR45,Weight
W_FSTR46,Weight
W_FSTR47,Weight
W_FSTR48,Weight
W_FSTR49,Weight
W_FSTR50,Weight
W_FSTR51,Weight
W_FSTR52,Weight
W_FSTR53,Weight
W_FSTR54,Weight
W_FSTR55,Weight
W_FSTR56,Weight
W_FSTR57,Weight
W_FSTR58,Weight
W_FSTR59,Weight
W_FSTR60,Weight
W_FSTR61,Weight
W_FSTR62,Weight
W_FSTR63,Weight
W_FSTR64,Weight
W_FSTR65,Weight
W_FSTR66,Weight
W_FSTR67,Weight
W_FSTR68,Weight
W_FSTR69,Weight
W_FSTR70,Weight
W_FSTR71,Weight
W_FSTR72,Weight
W_FSTR73,Weight
W_FSTR74,Weight
W_FSTR75,Weight
W_FSTR76,Weight
W_FSTR77,Weight
W_FSTR78,Weight
W_FSTR79,Weight
W_FSTR80,Weight
DROPOUT,Droped out Before Completing Year 12
ACH1PV,Achievement Index
ACH2PV,Achievement Index
ACH3PV,Achievement Index
ACH4PV,Achievement Index
ACH5PV,Achievement Index
STATE2,Region (East Coast)
FLAG_MISS,Attrition Flag
DROPOUT_10,Droped out Before Completing Year 12